A006360,GS건설
A039570,HDC아이콘트롤스
A294870,HDC현대산업개발
A013580,계룡건설
A004200,고려개발
A002990,금호산업
A002995,금호산업우
A013700,까뮤이앤씨
A001260,남광토건
A000210,대림산업
A000215,대림산업우
A047040,대우건설
A005960,동부건설
A005965,동부건설우
A028100,동아지질
A011160,두산건설
A002410,범양건영
A001470,삼부토건
A001880,삼호
A010960,삼호개발
A034300,신세계건설
A005450,신한
A023960,에쓰씨엔지니어링
A010400,우진아이엔에스
A013360,일성건설
A002780,진흥기업
A002787,진흥기업2우B
A002785,진흥기업우B
A003070,코오롱글로벌
A003075,코오롱글로벌우
A009410,태영건설
A009415,태영건설우
A014790,한라
A004960,한신공영
A051600,한전KPS
A097230,한진중공업
A000720,현대건설
A000725,현대건설우
A002460,화성산업
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
