A006840,AK홀딩스
A027410,BGF
A138930,BNK금융지주
A001040,CJ
A00104K,CJ4우(전환)
A001045,CJ우
A000590,CS홀딩스
A016610,DB금융투자
A005830,DB손해보험
A139130,DGB금융지주
A004840,DRB동일
A078930,GS
A078935,GS우
A012630,HDC
A175330,JB금융지주
A096760,JW홀딩스
A105560,KB금융
A009440,KC그린홀딩스
A030210,KTB투자증권
A003550,LG
A003555,LG우
A006260,LS
A229640,LS전선아시아
A005940,NH투자증권
A005945,NH투자증권우
A036530,S&T홀딩스
A034730,SK
A006120,SK디스커버리
A006125,SK디스커버리우
A03473K,SK우
A001510,SK증권
A001515,SK증권우
A030610,교보증권
A024110,기업은행
A000320,노루홀딩스
A000325,노루홀딩스우
A072710,농심홀딩스
A084690,대상홀딩스
A084695,대상홀딩스우
A003540,대신증권
A003547,대신증권2우B
A003545,대신증권우
A003090,대웅
A000640,동아쏘시오홀딩스
A082640,동양생명
A013570,디와이
A000400,롯데손해보험
A004990,롯데지주
A00499K,롯데지주우
A088980,맥쿼리인프라
A138040,메리츠금융지주
A008560,메리츠종금증권
A000060,메리츠화재
A006800,미래에셋대우
A00680K,미래에셋대우2우B
A006805,미래에셋대우우
A085620,미래에셋생명
A107590,미원홀딩스
A001270,부국증권
A001275,부국증권우
A032830,삼성생명
A016360,삼성증권
A029780,삼성카드
A000810,삼성화재
A000815,삼성화재우
A000070,삼양홀딩스
A000075,삼양홀딩스우
A001290,상상인증권
A007540,샘표
A007860,서연
A003030,세아제강지주
A001720,신영증권
A001725,신영증권우
A055550,신한지주
A033660,아주캐피탈
A009970,영원무역홀딩스
A015360,예스코홀딩스
A079440,오렌지라이프
A001800,오리온홀딩스
A316140,우리금융지주
A010050,우리종금
A016880,웅진
A003470,유안타증권
A003475,유안타증권우
A001200,유진투자증권
A003460,유화증권
A003465,유화증권우
A000230,일동홀딩스
A015860,일진홀딩스
A006220,제주은행
A003690,코리안리
A044820,코스맥스비티아이
A002020,코오롱
A002025,코오롱우
A192400,쿠쿠홀딩스
A005740,크라운해태홀딩스
A005745,크라운해태홀딩스우
A039490,키움증권
A005810,풍산홀딩스
A086790,하나금융지주
A000140,하이트진로홀딩스
A000145,하이트진로홀딩스우
A071050,한국금융지주
A071055,한국금융지주우
A123890,한국자산신탁
A006200,한국전자홀딩스
A024720,한국콜마홀딩스
A000240,한국테크놀로지그룹
A034830,한국토지신탁
A060980,한라홀딩스
A008930,한미사이언스
A004150,한솔홀딩스
A001750,한양증권
A001755,한양증권우
A088350,한화생명
A000370,한화손해보험
A003530,한화투자증권
A003535,한화투자증권우
A001500,현대차증권
A001450,현대해상
A004800,효성
A000540,흥국화재
A000547,흥국화재2우B
A000545,흥국화재우
