A095570,AJ네트웍스
A068400,AJ렌터카
A079160,CJ CGV
A037560,CJ헬로
A012030,DB
A114090,GKL
A003560,IHQ
A058850,KTcs
A058860,KTis
A035420,NAVER
A181710,NHN
A034310,NICE
A034120,SBS
A101060,SBS미디어홀딩스
A210980,SK디앤디
A035250,강원랜드
A011420,갤럭시아에스엠
A251270,넷마블
A005250,녹십자홀딩스
A005257,녹십자홀딩스2우
A023590,다우기술
A019680,대교
A019685,대교우B
A016710,대성홀딩스
A192080,더블유게임즈
A012510,더존비즈온
A002150,도화엔지니어링
A083370,동북아12호
A083380,동북아13호
A102260,동성코퍼레이션
A030790,동양네트웍스
A000150,두산
A000157,두산2우B
A000155,두산우
A032350,롯데관광개발
A286940,롯데정보통신
A015540,메디파트너생명공학
A204210,모두투어리츠
A007120,미래아이앤지
A155900,바다로19호
A100220,비상교육
A018260,삼성에스디에스
A028050,삼성엔지니어링
A068290,삼성출판사
A000180,성창기업지주
A002420,세기상사
A053210,스카이라이프
A035510,신세계 I&C
A031440,신세계푸드
A293940,신한알파리츠
A002030,아세아
A267850,아시아나IDT
A012750,에스원
A140910,에이리츠
A036570,엔씨소프트
A070960,용평리조트
A095720,웅진씽크빅
A021240,웅진코웨이
A000700,유수홀딩스
A072130,유엔젤
A214320,이노션
A088260,이리츠코크렙
A015020,이스타코
A084680,이월드
A030000,제일기획
A002620,제일파마홀딩스
A035000,지투알
A035720,카카오
A145270,케이탑리츠
A031820,콤텍시스템
A284740,쿠쿠홈시스
A020120,키다리스튜디오
A012170,키위미디어그룹
A078000,텔코웨어
A039130,하나투어
A172580,하이골드12호
A153360,하이골드3호
A159650,하이골드8호
A023350,한국종합기술
A053690,한미글로벌
A052690,한전기술
A130660,한전산업
A126560,현대에이치씨엔
A307950,현대오토에버
A094280,효성ITX
