,종목코드,종목명,종류
0,A000020,동화약품,KOSPI
1,A000040,KR모터스,KOSPI
2,A000050,경방,KOSPI
3,A000060,메리츠화재,KOSPI
4,A000070,삼양홀딩스,KOSPI
5,A000075,삼양홀딩스우,KOSPI
6,A000080,하이트진로,KOSPI
7,A000087,하이트진로2우B,KOSPI
8,A000100,유한양행,KOSPI
9,A000105,유한양행우,KOSPI
10,A000120,CJ대한통운,KOSPI
11,A000140,하이트진로홀딩스,KOSPI
12,A000145,하이트진로홀딩스우,KOSPI
13,A000150,두산,KOSPI
14,A000155,두산우,KOSPI
15,A000157,두산2우B,KOSPI
16,A000180,성창기업지주,KOSPI
17,A000210,대림산업,KOSPI
18,A000215,대림산업우,KOSPI
19,A000220,유유제약,KOSPI
20,A000225,유유제약1우,KOSPI
21,A000227,유유제약2우B,KOSPI
22,A000230,일동홀딩스,KOSPI
23,A000240,한국테크놀로지그룹,KOSPI
24,A000270,기아차,KOSPI
25,A000300,대유플러스,KOSPI
26,A000320,노루홀딩스,KOSPI
27,A000325,노루홀딩스우,KOSPI
28,A000370,한화손해보험,KOSPI
29,A000390,삼화페인트,KOSPI
30,A000400,롯데손해보험,KOSPI
31,A000430,대원강업,KOSPI
32,A000480,조선내화,KOSPI
33,A000490,대동공업,KOSPI
34,A000500,가온전선,KOSPI
35,A000520,삼일제약,KOSPI
36,A000540,흥국화재,KOSPI
37,A000545,흥국화재우,KOSPI
38,A000547,흥국화재2우B,KOSPI
39,A000590,CS홀딩스,KOSPI
40,A000640,동아쏘시오홀딩스,KOSPI
41,A000650,천일고속,KOSPI
42,A000660,SK하이닉스,KOSPI
43,A000670,영풍,KOSPI
44,A000680,LS네트웍스,KOSPI
45,A000700,유수홀딩스,KOSPI
46,A000720,현대건설,KOSPI
47,A000725,현대건설우,KOSPI
48,A000760,이화산업,KOSPI
49,A000810,삼성화재,KOSPI
50,A000815,삼성화재우,KOSPI
51,A000850,화천기공,KOSPI
52,A000860,강남제비스코,KOSPI
53,A000880,한화,KOSPI
54,A000885,한화우,KOSPI
55,A00088K,한화3우B,KOSPI
56,A000890,보해양조,KOSPI
57,A000910,유니온,KOSPI
58,A000950,전방,KOSPI
59,A000970,한국주철관,KOSPI
60,A000990,DB하이텍,KOSPI
61,A000995,DB하이텍1우,KOSPI
62,A001020,페이퍼코리아,KOSPI
63,A001040,CJ,KOSPI
64,A001045,CJ우,KOSPI
65,A00104K,CJ4우(전환),KOSPI
66,A001060,JW중외제약,KOSPI
67,A001065,JW중외제약우,KOSPI
68,A001067,JW중외제약2우B,KOSPI
69,A001070,대한방직,KOSPI
70,A001080,만호제강,KOSPI
71,A001120,LG상사,KOSPI
72,A001130,대한제분,KOSPI
